location,totaltweets,retweetcount,hashtags,date,Clean Text,Sentiment
"Herning, Denmark",2357,0,['dkpol'],2021-08-18 20:46:33,peter viggo jacobsen siger fra over for dresscode  ,0.0
Earth,222148,13,"['dkpol', 'dkgreen']",2021-08-18 20:45:57,hvor er det vildt stærkt gået  naturvenner  hvad ingen relevant myndighed har formået  har græsrødder nu sikret  byggeriet  hele byggeriet  er nu stoppet  nu skal det bare gøres permanent  så naturen fortsat kan råde på lærkesletten    ,4.0
"Granada Hills, CA",4108,0,"['dkpol', 'ABSURD']",2021-08-18 20:45:49, de mennesker  der har en mening om den her fest  er jo mennesker  der overhovedet ikke ville være kommet til den alligevel  men som bare bruger det her som en anledning til at poste deres småracistiske hyggeracisme ud over det hele     ,1.0
"København, Danmark",2474,7,"['Afghanistan', 'ligestilling', 'dkpol']",2021-08-18 20:45:29,mit hjerte bløder for afghansistan kvinder  som går en tid i møde med vold og undertrykkelse  jeg er stolt af at  har udført så vigtigt arbejde for kvinders frihed i   i  ved vi hvad det betyder når ngoer kæmper sammen for   ,0.0
Denmark,77618,1,"['dkpol', 'Afghanistan']",2021-08-18 20:45:23,så bliver der snakket lige ud af posen    for peter viggo er i studiet     ,0.0
Denmark,6490,6,['dkpol'],2021-08-18 20:45:12,selvom vi havde prioriteret grundlønnen hårdt  ville vi reelt stå i en situation hvor det generelle lønniveau ikke var meget anderledes  siger   det er nemlig fakta  ,0.0
"Brighton, UK & Denmark",75182,0,"['dkpol', 'flygtningepolitik', 'Afganistan', 'Syrien']",2021-08-18 20:44:20, mister langsomt  men sikkert al fornuft og intelligens af frygt for at fremstå slap i en i forvejen umenneskelig    ,-6.0
Danmark,243,0,"['dkmedier', 'dkpol']",2021-08-18 20:43:10,når joken om aftenens udsendelse er så god  at chefredaktøren kan levere den på flere forskellige måder    ,4.0
Copenhagen,1403,0,['dkpol'],2021-08-18 20:42:15,nasa khader vil åbenbart trække de stakkels kvinder i retten  men hvis han gerne vil i retten  mon så ikke en straffesag er en bedre ramme  denne type sager bør vel ikke afgøres ved civilt søgsmål  og mon khader skal have lov at vælge den bane der skal spilles på  ,1.0
Earth,222148,8,['dkpol'],2021-08-18 20:41:03,efterretningstjeneste modsiger kofod  alqaeda findes i afghanistan og vil sandsynligvis vokse  ekspert kalder udenrigsministerens beskrivelse af alqaeda for faktuelt forkert   ,-2.0
"Roskilde, Danmark",4,0,"['ligestilling', 'pride', 'copenhagenpride', 'dkpol', 'nbropride']",2021-08-18 20:41:00,det her  det er problematisk       ,-2.0
,10,43,['dkpol'],2021-08-18 20:40:56,efter godt to år i embedet har  endelig fået en god idé  nu bliver det spændende at se hvilken socialdemokrat  der for fremtiden skal stå for fuldstændigt at ignorere kulturområdet  ,8.0
Aarhus University,6023,0,"['dkpol', 'dkmedier']",2021-08-18 20:40:25,i efteråret      kæmpede vi mod    bølge vha  lokale nedlukninger    men hvad påvirkede borgernes opmærksomhed på afstand i perioden  analyser af over         surveysvar viser  at nationale smittetal var den vigtigste faktor  også vigtigere end nedlukningerne     ,-2.0
Danmark,1886,0,['dkpol'],2021-08-18 20:39:49,kom nu  er der en voksen tilstede   ,0.0
Danmark,11371,2,['dkpol'],2021-08-18 20:38:34,kan nogen hjælpe mig med at forstå  hvad  mener  det vil han sjælendt selv   mener han  at der ikke findes racisme rettet mod majoritetsdanskere  eller mener han bare  at vi ikke skal tale om det   ,-1.0
Danmark,1691,0,"['dkpol', 'dkmedier']",2021-08-18 20:38:03,ellemann  min absolutte førsteprioritet er at få bragt danskere og alle lokalt ansatte afghanere til danmark    ,0.0
EDEN,6498,0,['dkpol'],2021-08-18 20:37:40,nu gætter jeg lige på  fremgangsmåde vedrørende afghanistan   lyv  benægt   ønsker ikke at udtale sig yderlige   ,2.0
Århus,2124,0,['dkpol'],2021-08-18 20:37:29,sikke et fint debatprogram på  om afghanistan med vidende mennesker og de relevante politikere   var forrygende som vært  de rigtige og relevante spørgsmål og helt uden teatertorden  jeg ønsker mig meget mere af den slags tv  ,4.0
🇪🇺,923,1,"['voresEUD', 'dkpol', 'eudk']",2021-08-18 20:36:38,befriende at høre  i aftens debat på   det er nemlig tid til at afskaffe forsvarsforbeholdet  europa skal stå på egne ben  og det er kun i dks interesse  hvad venter i på        ,2.0
,6976,6,['dkpol'],2021-08-18 20:36:31,rendyrket racisme og ekstrem intolerance i mangfoldighedens navn  tankevækkende  at de selvudråbte  tolerante  ofte er ret intolerante  afslørende for regnbuemiljøet    ,-6.0
,9356,8,"['croptop', 'dkmedier', 'dkpol']",2021-08-18 20:35:34,forbud mod croptops = negativ social kontrol  unge kvinder skal ikke udskammes for at klæde sig som de vil  de skal ikke tage ansvar for mænd og drenges gammeldags moral og manglende koncentrationsevne    ,-4.0
,615,0,"['dkpol', 'afghanistan', 'dr']",2021-08-18 20:35:31,elsker energien i det her outfit  mens børnenes udenrigsminister bare taler varm luft og tomme ord    ,3.0
"Faxe kommune, Sydsjælland",7974,3,['dkpol'],2021-08-18 20:34:58,nu vil s give barsel til far  mor og medfar… men hvad med flerkoneri  det er også mangfoldighed   med hvilken begrundelsen vil regeringen sige nej til dem  og hvordan vil man fastholde et nej  når tre eller flere forældre godt må det ene sted  men ikke det andet sted  ,2.0
"Nordjylland, Danmark",485,1,['dkpol'],2021-08-18 20:34:50,ud over at det er dumt at man skal begrænse pigers ret til at udtrykke sig til fordel for drenges fokus  så er det meget nedladende  at man bygger det på en præmis om at drenge ikke kan fokusere på en time  hvis at der er en pige til stede i en kort tshirt  ,-1.0
Denmark,7362,0,['dkpol'],2021-08-18 20:34:39,peter viggo i shorts og polo    zero f   s given   ,0.0
Danmark,127544,0,['dkpol'],2021-08-18 20:34:21,inkompetente og forudindtaget  ,-4.0
Denmark,33,17,['dkpol'],2021-08-18 20:34:02,til pressemødet virker jeppe kofod som om han lider af galoperende imposter syndrome  hans største frygt er at eller anden siger  du aner jo intet om det du taler om   ,-4.0
,62396,0,"['dkpol', 'dkmedier', 'bias']",2021-08-18 20:33:43,  sober   de nævnte ikke biden med et ord  trods bidens store ansvar for totalt at lade den afghanske hær i stikken   men trump blev angrebet     hvorfor viste dr ikke denne tale af trump  som forudså hvad ville ske  hvorfor han ikke ville gøre som biden      ,-1.0
"Herning, Denmark",118955,3,"['dkpol', 'dkmedier', 'bias', 'TDS', 'uærligedanskemedier']",2021-08-18 20:33:37,hvordan kan drs debat   samt deltagerne i debatten  undlade at redegøre for  at joe bidens store ansvar for katastrofen i afghanistan   trump ville ikke gøre som biden  han forstod hvad der ville ske  se video      ærligedanskemedier ,-2.0
Copenhagen,11392,0,"['Afghanistan', 'dkpol']",2021-08-18 20:33:32,hvad gør vi efter usa´s tilbagetog fra  og farvel til rollen som verdens politibetjent  godt at   det klart i  eu´s forsvarssamarbejde bør styrkes  og danmark bør gøre op med forsvarsforbeholdet ,3.0
Danmark,127544,3,"['dkpol', 'dkmedier', 'bias', 'TDS', 'uærligedanskemedier']",2021-08-18 20:33:03,hvordan kan drs debat   samt deltagerne i debatten  undlade at redegøre for  at joe bidens store ansvar for katastrofen i afghanistan   trump ville ikke gøre som biden  han forstod hvad der ville ske  se video      ærligedanskemedier ,-2.0
Earth,222148,7,"['dkpol', 'dkgreen', 'dknatur']",2021-08-18 20:32:56,jeg tænker  du nok har adgang til new york times ⁦⁩ og kan læse om de problemer det giver  at ukrudtsmidler skaber  superukrudt  som er resistent mod midlerne og derfor opformeres og bliver et kæmpe problem      ,-5.0
"Copenhagen, Denmark",711,4,"['dkpol', 'arbejde']",2021-08-18 20:32:48,potentiale for over      arbejdspladser i nordsøen  det svarer til de medarbejdere  der står til at miste deres arbejde i olieindustrien  claus jensen  dansk metal   det kan redde rigtig mange virksomheder herhjemme    ,-2.0
"København, Hovedstaden",2952,2,"['dkpol', 'dkaid']",2021-08-18 20:32:35,vi har sat vores aktiviteter i afghanistan på pause og opfordrer landet til at sikre humanitær adgang og opretholde international humanitær lov  så vi hurtigst muligt kan genoptage vores arbejde for børn i afghanistan  de har ret til en fremtid uden vold og konflikt   ,-2.0
"CPH,LNDN,NYC,MILAN,OSLO,JAPAN",25924,0,"['justasking', 'dkpol']",2021-08-18 20:32:02,er han fyret eller har khader selv forladt de præservative    ,-2.0
USS Enterprise,49454,2,"['dkmedier', 'dkpol']",2021-08-18 20:31:54,regeringen foreslår i et udspil  at ulovligt indhold fjernes fra sociale mediers platforme inden for    timer  ifølge danske medier må det ikke ramme journalistisk indhold  hvem kan stave til grundlov i    ,-3.0
,405,6,['dkpol'],2021-08-18 20:31:35,rendyrket racisme og ekstrem intolerance i mangfoldighedens navn  tankevækkende  at de selvudråbte  tolerante  ofte er ret intolerante  afslørende for regnbuemiljøet    ,-6.0
Danmark,384,0,"['Afganistan', 'dkpol']",2021-08-18 20:31:06,tak til  for at belyse og debattere den afghanske krise   lad os alle håbe på bedre tider for     ,3.0
København,514,38,"['NickHækkerup', 'dkpol']",2021-08-18 20:31:02,ækkerup har lige udsendt en pressemeddelelse om en ny superpolitienhed  min første tanke var  mon ikke det bare er nick som vil have mere magt   jeg kiggede på lovforslaget  jo  nick vil kunne ophæve alles tavshedspligt uden domstolskontrol    ,0.0
,2944,18,['dkpol'],2021-08-18 20:30:58,  vil sammen med regeringen  sf og r give mulighed for  at op til fire forældre kan dele forældreorloven  det er vigtigt for regnbuefamilier  og et skridt på vejen mod fuld juridisk anerkendelse af  at man kan have mere end kun to forældre # ,4.0
,47,3,['dkpol'],2021-08-18 20:30:17,kære alle  husk at være nogenlunde konsistente i jeres holdninger til hhv crop tops og pernille vermunds påklædning  enten må kvinder/piger se ud  som de vil  ellers må de ikke  ,2.0
Denmark,77618,1,"['dkpol', 'dkmedier']",2021-08-18 20:30:07,hvad husker vi fra den debat ny case til medietræning   ,0.0
"Copenhagen, DK",3926,0,['dkpol'],2021-08-18 20:29:58,en sjældent stærk og sober debat   ,2.0
,17669,1,"['Afghanistan', 'dkpol', 'dkmedier']",2021-08-18 20:29:40,flot udsendelse om  af  og holdet bag  sobert  oplysende og i en setting og tone  der er respektabel uden samtidig at gemme den politiske uenighed væk  den kan i godt være stolte af   ,6.0
,8938,5,['dkpol'],2021-08-18 20:29:22,udenrigsministeren siger  at han var upræcis  da han sagdfe  at alqaeda er ikke mere i afghanistan  læs selv den kaloriefattige bagkloge ordsalat     ,-2.0
Aalborg,371,2,"['rekrutteringsplan', 'uddpol', 'dkpol']",2021-08-18 20:28:50,velkommen til  som ny uddannelses og forskningsordfører  vi glæder os til et godt samarbejde om bl a  lærer og pædagoguddannelsen og løsninger  der kan få flere til at vælge velfærdsuddannelserne    ,9.0
Denmark,30461,4,['dkpol'],2021-08-18 20:28:42,tak ⁦⁩ ⁦⁩ for dette program  sobert og ordentligt tilrettelagt  tilbage står vi med spinkle håb og skam   ,2.0
"Copenhagen, Denmark",2407,20,['dkpol'],2021-08-18 20:28:23,vi er tilbage her til morgen    indtil  kalder til pressemøde om klimaets krisetilstand  læser vi op af ipcc    hovedrapport    videnskaben er klar  nu skal politik følge efter       ,1.0
,62396,3,"['dkpol', 'dkmedier', 'bias', 'TDS', 'uærligedanskemedier']",2021-08-18 20:28:14,hvordan kan drs debat   samt deltagerne i debatten  undlade at redegøre for  at joe bidens store ansvar for katastrofen i afghanistan   trump ville ikke gøre som biden  han forstod hvad der ville ske  se video      ærligedanskemedier ,-2.0
,5652,6,['dkpol'],2021-08-18 20:28:12,se så at få genåbnet irak og afghanistankommissionen  hvad venter i på   ,-1.0
Aarhus,2134,7,['dkpol'],2021-08-18 20:27:19,   har tilsyneladende ret  jeg forstår det ikke  det her skal man vist være sort for at forstå   en helt og aldeles uforståelig sort tankegang    ,0.0
Bulgarien,11189,0,['dkpol'],2021-08-18 20:27:01,jeg har fået noget insider viden fra en gruppe folk der arbejder sammen i danmark  hvor en del af dem ikke er danske statsborgere  mens andre er  har det vist sig at alle de udenlandske statsborgere fik moderna vaccinen og alle de danske statsborgere fik pfizer ,4.0
Danmark,739,19,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-18 20:27:00,corona vira muterer kontinuerligt  og massevaccination fremmer naturligvis selektion af mutationer  der ikke er følsomme for vacciner  her i cape cod     juli         ,1.0
"Skanderborg, Danmark",9634,0,"['dkgreen', 'dkpol']",2021-08-18 20:26:08,nu skal vi som borgere købe os til natur fra staten  og det er i ok med   ,0.0
,91311,0,['dkpol'],2021-08-18 20:25:16,debatten i aften  styres alt for meget af politikerne  ,-2.0
,120,1,['dkpol'],2021-08-18 20:25:09,indlæg i politiken i dag om afghanistan  morten helveg petersen  vi har været med hele vejen i afghanistan  fordi det var i vores egen interesse ,1.0
CPH og Allinge,2462,1,"['dkpol', 'dkmedier']",2021-08-18 20:24:38,hvad husker vi fra den debat ny case til medietræning   ,0.0
Denmark,1996,11,['dkpol'],2021-08-18 20:24:00,har igen hørt formanden for copenhagen pride udtale at det er  super fedt  at der på nørrebro holdes en pride hvor  hvide  og heteroseksuelle ikke må deltage  gad vide om det også var  super fedt  hvis det i stedet havde været  brune  og homoseksuelle der var udelukket ,4.0
"Syddanmark, Danmark",1710,0,['dkpol'],2021-08-18 20:22:10,was kinder vor schweren verläufen schützen könnte  og så taler de i usa om alvorlige følger for børn     # ,0.0
,690,3,"['dkpol', 'dkgreen']",2021-08-18 20:22:07, /  der er ledige pladser til vores konference  på christiansborg d      august kl     om grønne job  de deltagende i dialogen er blandt andet   bjarne lausten  s     sf    el ,0.0
"Aalborg, Danmark",13606,15,['dkpol'],2021-08-18 20:21:30,danmark gennemførte sin seneste hjemsendelse af en flygtning til afghanistan tre dage før  usa begyndte at evakuere  tre dage   hvordan kan det overhovedet lade gøre at være så uvidende om situationen i et land  hvor man har folk på landjorden  ,-2.0
Kontakt: esbensenb@gmail.com,19332,1,['dkpol'],2021-08-18 20:21:25,sjovt fordi det er rigtigt   ,3.0
"Vallensbæk, Hovedstaden",14951,0,['dkpol'],2021-08-18 20:20:53,når jeg hører jeppe kofods forklaring på evakueringen fra afghanistan til aften får jeg en utrolig trang til at råbe  amatørnisse  ,1.0
Copenhagen,1604,19,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-18 20:20:49,corona vira muterer kontinuerligt  og massevaccination fremmer naturligvis selektion af mutationer  der ikke er følsomme for vacciner  her i cape cod     juli         ,1.0
DENMARK,38340,26,['dkpol'],2021-08-18 20:20:44,vi er enige om at tine bramsen og jeppe kofoed er nødt til at udtræde af regeringen  ikke  ,1.0
Copenhagen,1078,8,"['metoo', 'dkpol']",2021-08-18 20:20:40,morten østergaard    frank jensen    orla østerby    kristian hegaard    naser khader    og flere dybt kritiske rapporter om den interne kultur i danske partier    man må sige  at  bølgen efterhånden har fået voldsomt stor betydning for   og det er næppe forbi ,0.0
Earth,222148,6,['dkpol'],2021-08-18 20:19:06,se så at få genåbnet irak og afghanistankommissionen  hvad venter i på   ,-1.0
"Gladsaxe, Danmark",41145,0,['DKpol'],2021-08-18 20:19:06,farvel naser khader  du tabte kampen  men bare rolig folkestyret aflønner dig generøst længe endnu    ,4.0
Earth,222148,15,['dkpol'],2021-08-18 20:19:00,danmark gennemførte sin seneste hjemsendelse af en flygtning til afghanistan tre dage før  usa begyndte at evakuere  tre dage   hvordan kan det overhovedet lade gøre at være så uvidende om situationen i et land  hvor man har folk på landjorden  ,-2.0
"Holstebro, Danmark",791,8,"['croptop', 'dkmedier', 'dkpol']",2021-08-18 20:18:51,forbud mod croptops = negativ social kontrol  unge kvinder skal ikke udskammes for at klæde sig som de vil  de skal ikke tage ansvar for mænd og drenges gammeldags moral og manglende koncentrationsevne    ,-4.0
,61,0,"['Afganistan', 'dkpol']",2021-08-18 20:17:11,peter viggo er i kolonihaven… forhelvede skat  jeg har glemt jeg skulle i fjernsynet…    ,-1.0
"Taastrup, Denmark",5772,4,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-18 20:16:57,       det i fortæller er i givet fald meget alvorligt  der er skærpet indberetningspligt  og det tilkommer ikke tilfældige at censurere  hvad de netop den dag synes er en mulig bivirkning         ,-2.0
"Odense, Danmark",1264,0,['dkpol'],2021-08-18 20:16:44,hvorfor skal danmark yde livsreddende nødhjælp      vi danskere er simpelthen for dumme     ,-2.0
Copenhagen,32230,0,"['dkpol', 'dkmedier']",2021-08-18 20:16:09,naser khader blev engang kaldt  den danske jfk  af en politisk kommentator  i kid you not…  ,0.0
"CPH,LNDN,NYC,MILAN,OSLO,JAPAN",25924,1,"['dkpol', 'Afghanistan']",2021-08-18 20:15:58,så bliver der snakket lige ud af posen    for peter viggo er i studiet     ,0.0
,31614,7,"['dkpol', 'dkgreen', 'dknatur']",2021-08-18 20:13:37,jeg tænker  du nok har adgang til new york times ⁦⁩ og kan læse om de problemer det giver  at ukrudtsmidler skaber  superukrudt  som er resistent mod midlerne og derfor opformeres og bliver et kæmpe problem      ,-5.0
Danmark,6971,9,"['Afghanistan', 'dkpol']",2021-08-18 20:13:29,nogle indvandrere synes primært at kunne bruge danmark til noget  når  lokummet virkelig brænder   derfor skal vi have strammet dansk indvandringspolitik til det yderste  hvilket betyder et asylstop       ,1.0
Earth,222148,5,['dkpol'],2021-08-18 20:12:56,udenrigsministeren siger  at han var upræcis  da han sagdfe  at alqaeda er ikke mere i afghanistan  læs selv den kaloriefattige bagkloge ordsalat     ,-2.0
"Syddanmark, Danmark",1710,1,"['dkpol', 'AmagerFælled']",2021-08-18 20:12:15,kæmpe lang næse til by &amp; havn   københavns teknik og miljøforvaltning  amager fælleds venner samlede   mio  kr  ind på     døgn   ælled,-1.0
,3630,1,['dkpol'],2021-08-18 20:11:42,indlæg i politiken i dag om afghanistan  morten helveg petersen  vi har været med hele vejen i afghanistan  fordi det var i vores egen interesse ,1.0
"Odense, Danmark",1264,1,"['dkpol', 'dkmedier']",2021-08-18 20:10:40,i      fik danmark en grundlov   i      fik kvinder i danmark stemmeret    danmark sammen med nato troede selvsamme resultater kunne opnås i afghanistan på mindre end    år  om krigen var en fejl  ja     ,3.0
"København, Danmark",2179,2,['dkpol'],2021-08-18 20:10:10, sådan som forhandlingssystemet er i dag  er det reelt umuligt at give et egentligt løft af grundlønnen   siger  til  fordi der reelt kun er          procent af den samlede lønramme at forhandle om ved offentlige overenskomster   ,-2.0
Copenhagen,1403,0,['dkpol'],2021-08-18 20:10:04,statsminister og ‘forsvarsminister’ på pressemøde i dag   øjnene fastlåst på manuskript  ord uden sjælens engagement  krisestyring  sommergruppemødet der aflyses  landets ledelse indfanget i lyskeglen fra en virkelig verden  fjernt fra regeringens samvittighed  ,0.0
Nordic,53668,19,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-18 20:09:42,corona vira muterer kontinuerligt  og massevaccination fremmer naturligvis selektion af mutationer  der ikke er følsomme for vacciner  her i cape cod     juli         ,1.0
,3713,2,"['kabulairport', 'Afganistan', 'Talibans', 'taliban', 'Kabul', 'dkpol']",2021-08-18 20:09:40,bryde scener fra kabul lufthavn nu          ,0.0
"Odense, Danmark",1264,0,['dkpol'],2021-08-18 20:09:37,våbenindustrien har tjent milliarder på det misfoster af en krig     nu mp alle de liberale tosser holde deres kæft    danmark har tabt den krig med et kæmpe brag   ,-8.0
"Nordjylland, Danmark",1547,0,"['dkpol', 'dkmedier', 'dkforsvar']",2021-08-18 20:09:33,espersen fra df kører videre på dr  med ansvarsfraskrivelsen og afghanerne vil ikke demokrati  men sharia og taliban  hvilket jo er grunden til at kabul lufthavn er stopfuld med mennesker pt  det er en farvel og kom godt hjemkomité   ,3.0
,76,1,"['dkpol', 'dkmedier']",2021-08-18 20:09:29,i      fik danmark en grundlov   i      fik kvinder i danmark stemmeret    danmark sammen med nato troede selvsamme resultater kunne opnås i afghanistan på mindre end    år  om krigen var en fejl  ja     ,3.0
"Helsinki, Finland",135175,9,"['dkmedier', 'dkpol', 'sundpol', 'Sundhed']",2021-08-18 20:09:03,covidvaccination  der er fortsat høj vaccineeffektivitet for covid  vaccinerne  det viser et nyt notat fra ssi       ,0.0
Danmark,72722,5,['dkpol'],2021-08-18 20:09:01,godt nok har vi længe set sfs ryk mod ‘midten’  men helt ærligt; hvordan kan man få sig selv til at skrive noget så tonedøvt og så midt i prideugen  nej  der er ingen elefant i rummet  og da slet ikke racisme mod majoriteten i danmark  stop nu    ,1.0
Copenhagen,253,3,"['dkpol', 'dkgreen']",2021-08-18 20:08:49, /  der er ledige pladser til vores konference  på christiansborg d      august kl     om grønne job  de deltagende i dialogen er blandt andet   bjarne lausten  s     sf    el ,0.0
,22627,19,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-18 20:07:51,corona vira muterer kontinuerligt  og massevaccination fremmer naturligvis selektion af mutationer  der ikke er følsomme for vacciner  her i cape cod     juli         ,1.0
Denmark,7362,0,"['dkpol', 'DR1']",2021-08-18 20:07:36,spørgsmålet bør ikke være om den danske indsats har været en fejl  for det har den ikke  der er sket fremskridt i afghanistan   det største fejl ligger i den eklatante fejlvurdering af den afghanske hærs vilje og reelle formåen   ,-2.0
Danmark,31319,5,['dkpol'],2021-08-18 20:07:23,godt nok har vi længe set sfs ryk mod ‘midten’  men helt ærligt; hvordan kan man få sig selv til at skrive noget så tonedøvt og så midt i prideugen  nej  der er ingen elefant i rummet  og da slet ikke racisme mod majoriteten i danmark  stop nu    ,1.0
Danmark,31319,1,"['Pride2021', 'dkpol']",2021-08-18 20:07:09,andre undrer sig også     ,0.0
,30166,3,['dkpol'],2021-08-18 20:06:50,vinklen ingen i  havde set  ,0.0
Danmark,31319,1,['dkpol'],2021-08-18 20:06:49,det er mig en gåde  at halime oguz er en central figur i   ofte båret frem af   den ene dag tager i selfies viftenende med regnbueflag  den næste støtter i halime og hendes detersyndformajoritetenlinje   ,2.0
,33577,1,['dkpol'],2021-08-18 20:06:40,skole i vejle forbyder piger at gå med et særligt stykke tøj  der viser maven   »det er så langt væk fra en konstruktiv dialog  jeg synes  det er et selvmål  og jeg forstår det simpelthen ikke «   ,0.0
 Earth ,18336,14,['dkpol'],2021-08-18 20:06:37,altså lidt træls  at en fiktiv statsminister fra      har en mere ambitiøs klimapolitik end den der er der i virkeligheden  ,2.0
,325,166,"['dkpol', 'dkmedier']",2021-08-18 20:06:17,er det en aprilsnar  midt i august  jeg er måske lidt træt efter nogle intense døgn i kabul  men tak for at få mig til at grine  kære politikere og joe biden  al qaeda er ikke længere i afghanistan  siger i  elsker jeres humor   ,7.0
"Syddanmark, Danmark",1710,9,['dkpol'],2021-08-18 20:06:10,jeg forstår simpelthen ikke bramsen  hvis hun vidste at tingene ændrede sig time for time søndag  sagde god for at et militærfly skulle flyve til afghanistan søndag  hvorfor står hun så til et sælarrangement på ærø søndag  jeg forstår det virkelig ikke ,3.0
"Odense, Danmark",1264,0,['dkpol'],2021-08-18 20:06:09,peter bartram taler for våbenindustrien     hold nu lige kæft  nato har lige leveret for milliardvis af kroner våben til nogle tosser fra taliban  klovn   hop tilbage i hulen    ,-1.0
Denmark,33271,0,['dkpol'],2021-08-18 20:04:37,fuck cancer  fuck det så forpulet langt væk som det nogensinde kan komme  og fuck politikere for at gå i krig  når pengene kunne være brugt på omsorg  lindring og forskning  ,-17.0
"sydhavsøerne v/""havet"" ",65225,2,"['dkmedier', 'dkpol']",2021-08-18 20:04:12,regeringen foreslår i et udspil  at ulovligt indhold fjernes fra sociale mediers platforme inden for    timer  ifølge danske medier må det ikke ramme journalistisk indhold  hvem kan stave til grundlov i    ,-3.0
,148737,1,['dkpol'],2021-08-18 20:03:46,…  og det haster  ⁦⁩  ,0.0
Odense,19503,1,"['vejle', 'dkpol', 'dkmedier', 'everydaysexisme', 'københavnerliv']",2021-08-18 20:03:30,så i  at man nu vil bestemme hvordan unge kvinder skal klæde sig  ikke i afghanistan men i  hvordan kan   cm bar mave være en trussel for nogen  gad godt mødes med den skoleinspektør der har et problem med det     øbenhavnerliv,-1.0
"Odense, Danmark",1264,0,['dkpol'],2021-08-18 20:02:57,peter bartram argumenterer lige for mere militært engagement  luk ned for forsvaret eller lad dem kom ud og styre trafikke i herning     ,2.0
"Faxe kommune, Sydsjælland",7974,2,"['dkmedier', 'dkpol']",2021-08-18 20:02:39,regeringen foreslår i et udspil  at ulovligt indhold fjernes fra sociale mediers platforme inden for    timer  ifølge danske medier må det ikke ramme journalistisk indhold  hvem kan stave til grundlov i    ,-3.0
,148737,4,['dkpol'],2021-08-18 20:02:08,tak ⁦⁩ ⁦⁩ for dette program  sobert og ordentligt tilrettelagt  tilbage står vi med spinkle håb og skam   ,2.0
,2257,6,['dkpol'],2021-08-18 20:01:58,debat  sisyfosmyten afghanistan er svær at se i øjnene   ,-2.0
Aarhus,410,0,['dkpol'],2021-08-18 20:01:17,tankevækkende  ,1.0
Karup,1402,0,"['dkpol', 'Dr1direkte']",2021-08-18 20:00:54,det handler ikke om afghanistan  men dk amatøragtige tilgang til vores udenrigspolitik  det er endnu ikke lykkedes os at samarbejde med/om eu    en krone kan kun bruges én gang  eu bør være vores bidrag til nato   ,3.0
,30166,0,['dkpol'],2021-08-18 19:59:58,beundrer  for hans eftertænksomme fremtræden i dr  lige nu  ,3.0
,91311,0,['dkpol'],2021-08-18 19:59:09,det er let for politikere  at sidde og sige  at de danske ofre var det hele værd  men det var jo ikke dem  der satte livet på spil langt væk hjemmefra  i afghanistan  det er så nemt at trykke på en knap i sikkerhed inde i folketingssalen  og så sende soldater afsted  ,2.0
København,9372,1,['dkpol'],2021-08-18 19:56:55,og således blev en skamstøtte rejst   ,0.0
Mors,2002,5,"['dkkultur', 'dkpol', 'km21']",2021-08-18 19:56:05,sammen med danske kulturbestyrelser     og frank rechendorff møller foreslår vi nu et nyt analyseinstitut på kulturområdet  som skal styrke kulturlivet og ruste det til fremtiden    ,2.0
,8733,0,['dkpol'],2021-08-18 19:55:48,jeg kan egentlig godt forstå at folk finder det forrykt at man kan finde på at tage en smule hensyn til drenges læring  det har man ikke gjort i    år  så det må komme som et chok for de fleste   ,1.0
"Roskilde, Danmark",4,0,"['dkpol', 'debatten']",2021-08-18 19:55:37,  rørende tv  forfærdelige tilstande i afghanistan  det er ikke en værdig måde at afslutte vores indsats på  og jeg håber så inderligt at nogen tager mere ansvar  krig har så store konsekvenser  at man ikke har haft en evakueringsplan tidligere er mig en gåde  ,1.0
"The Vejle, Jutland, Denmark",22365,3,"['dkpol', 'dkgreen', 'bevaramagerfælled']",2021-08-18 19:55:32,  mio indsamlet på et døgn   mega sejt arbejde af borgergruppen   og markant signal til de københavnske politikere   ælled ,0.0
Denmark,74968,5,"['dkgreen', 'dkpol']",2021-08-18 19:54:35,forbrugerne svigtes i klagesager om vildledning fra bl a    når de skubbes til   som i andre sektorer skal fødevarevirksomheders greenwashing også behandles &amp; straffes med rette lovgivning  dvs  hos forbrugerombudsm    ,-6.0
USS Enterprise,49454,19,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-18 19:54:07,corona vira muterer kontinuerligt  og massevaccination fremmer naturligvis selektion af mutationer  der ikke er følsomme for vacciner  her i cape cod     juli         ,1.0
"Aarhus, Denmark",31685,0,"['borgen', 'dkpol']",2021-08-18 19:53:23,   gad vide hvilken beklædning ’s ikkeordførere bærer  når de er på   ,1.0
